source,spd_score,best_solint,RA,DEC
P50716/scalarphasediff0_skyselfcalcyle000_L816272_P50716_spd.ms.phaseup.h5,0.8639798640083227,30.653042535385023,241.59805,54.098885
P51272/scalarphasediff0_skyselfcalcyle000_L769393_P51272_spd.ms.phaseup.h5,0.8794581007576519,31.807630343237797,241.54022,54.05709
P52238/scalarphasediff0_skyselfcalcyle000_L798074_P52238_spd.ms.phaseup.h5,0.9122734568972044,34.335180970107416,241.40973,54.6563
P52238/scalarphasediff0_skyselfcalcyle000_L816272_P52238_spd.ms.phaseup.h5,0.9589648977055152,38.1216371856296,241.40973,54.6563
P24227/scalarphasediff0_skyselfcalcyle000_L686962_P24227_spd.ms.phaseup.h5,0.9704116857928718,39.08461178324592,244.09738,54.960716
P24227/scalarphasediff0_skyselfcalcyle000_L769393_P24227_spd.ms.phaseup.h5,1.0006118216950597,41.69198573848317,244.09738,54.960716
P44832/scalarphasediff0_skyselfcalcyle000_L816272_P44832_spd.ms.phaseup.h5,1.0255940721047312,43.9230577980445,242.14249,55.544846
P22181/scalarphasediff0_skyselfcalcyle000_L686962_P22181_spd.ms.phaseup.h5,1.0927736191296258,50.26480358140575,244.31802,55.26303
P45240/scalarphasediff0_skyselfcalcyle000_L686962_P45240_spd.ms.phaseup.h5,1.097046362064227,50.685392512489194,242.08633,56.232155
P44832/scalarphasediff0_skyselfcalcyle000_L686962_P44832_spd.ms.phaseup.h5,1.1036494252607991,51.33949655944105,242.14249,55.544846
P53426/scalarphasediff0_skyselfcalcyle000_L798074_P53426_spd.ms.phaseup.h5,1.148416157394508,55.90811702080856,241.22804,55.997147
P24227/scalarphasediff0_skyselfcalcyle000_L798074_P24227_spd.ms.phaseup.h5,1.148826088960753,55.95104480901312,244.09738,54.960716
P17010/scalarphasediff0_skyselfcalcyle000_L686962_P17010_spd.ms.phaseup.h5,1.1662727009131828,57.7967093367589,244.83398,54.804844
P53426/scalarphasediff0_skyselfcalcyle000_L816272_P53426_spd.ms.phaseup.h5,1.1703271665367496,58.23088017151255,241.22804,55.997147
P24227/scalarphasediff0_skyselfcalcyle000_L816272_P24227_spd.ms.phaseup.h5,1.2161295129333098,63.27555713788656,244.09738,54.960716
P22181/scalarphasediff0_skyselfcalcyle000_L769393_P22181_spd.ms.phaseup.h5,1.230545502988296,64.91743485498041,244.31802,55.26303
P17010/scalarphasediff0_skyselfcalcyle000_L769393_P17010_spd.ms.phaseup.h5,1.2624278997072846,68.64287506635665,244.83398,54.804844
P37145/scalarphasediff0_skyselfcalcyle000_L686962_P37145_spd.ms.phaseup.h5,1.2698327695134743,69.52698137463268,242.87299,54.76851
P45240/scalarphasediff0_skyselfcalcyle000_L769393_P45240_spd.ms.phaseup.h5,1.2828993942871785,71.1046603782201,242.08633,56.232155
P51272/scalarphasediff0_skyselfcalcyle000_L798074_P51272_spd.ms.phaseup.h5,1.3255350354495952,76.41149047144732,241.54022,54.05709
P22181/scalarphasediff0_skyselfcalcyle000_L798074_P22181_spd.ms.phaseup.h5,1.3466792824233391,79.13558820568056,244.31802,55.26303
P37145/scalarphasediff0_skyselfcalcyle000_L816272_P37145_spd.ms.phaseup.h5,1.375309571596557,82.92436413897015,242.87299,54.76851
P37145/scalarphasediff0_skyselfcalcyle000_L769393_P37145_spd.ms.phaseup.h5,1.406233182043673,87.14936743314163,242.87299,54.76851
P37145/scalarphasediff0_skyselfcalcyle000_L798074_P37145_spd.ms.phaseup.h5,1.4469711991651988,92.9324286450708,242.87299,54.76851
P34825/scalarphasediff0_skyselfcalcyle000_L798074_P34825_spd.ms.phaseup.h5,1.4545278962069752,94.03300040795052,243.09824,55.432026
P37686/scalarphasediff0_skyselfcalcyle000_L769393_P37686_spd.ms.phaseup.h5,1.4738873225517937,96.89319031990703,242.81935,53.73866
P51272/scalarphasediff0_skyselfcalcyle000_L816272_P51272_spd.ms.phaseup.h5,1.480298007230067,97.85334491447378,241.54022,54.05709
P34825/scalarphasediff0_skyselfcalcyle000_L686962_P34825_spd.ms.phaseup.h5,1.48266193702644,98.2090520383425,243.09824,55.432026
P17010/scalarphasediff0_skyselfcalcyle000_L798074_P17010_spd.ms.phaseup.h5,1.4933066224624856,99.82188656051856,244.83398,54.804844
P37686/scalarphasediff0_skyselfcalcyle000_L686962_P37686_spd.ms.phaseup.h5,1.4934976419839043,99.85099562417103,242.81935,53.73866
P34825/scalarphasediff0_skyselfcalcyle000_L769393_P34825_spd.ms.phaseup.h5,1.4937346844044548,99.88712622142758,243.09824,55.432026
P57108/scalarphasediff0_skyselfcalcyle000_L769393_P57108_spd.ms.phaseup.h5,1.508717438863704,102.1893628315148,240.89687,54.08733
P34825/scalarphasediff0_skyselfcalcyle000_L816272_P34825_spd.ms.phaseup.h5,1.5151975912580156,103.19648289261411,243.09824,55.432026
